epoch,train_acc,test_acc,train_loss,test_loss
1,89.93,85.6,0.34701101552248004,0.4671653044223785
2,92.81,88.4,0.26112608604431153,0.3784327459335327
3,94.19,89.7,0.20887311255931854,0.3275130853652954
4,95.05,91.15,0.17537943570613862,0.3002039680480957
5,95.65,91.15,0.15241766803264617,0.2767589430809021
6,96.23,91.35,0.13372141976356505,0.26332076382637026
7,96.76,92.3,0.11707583675086498,0.24275057244300843
8,97.15,92.65,0.10485845090150833,0.23645779395103456
9,97.4,92.85,0.09394242889881134,0.2267395179271698
10,97.69,92.4,0.0885623393267393,0.2258054497241974
