epoch,train_acc,test_acc,train_loss,test_loss,optimizer,elapsed_seconds
1,94.71333333333334,94.52,0.1864117692788442,0.1860965659022331,GradientClip_5.0,1
2,96.73833333333332,96.4,0.1164345767358938,0.1267777051120996,GradientClip_5.0,2
3,97.48666666666666,96.7,0.0900277654985586,0.1054238874800503,GradientClip_5.0,3
4,98.05833333333334,97.24,0.0710230933149655,0.0888501403518021,GradientClip_5.0,4
5,98.39833333333333,97.58,0.0570792367577552,0.0781190474059432,GradientClip_5.0,5
6,98.85166666666667,97.87,0.0452689127624034,0.0716352044634521,GradientClip_5.0,6
7,98.94,97.68,0.0409217566817998,0.0715414101086557,GradientClip_5.0,7
8,99.17333333333332,97.93,0.0345514642511804,0.0678786890991032,GradientClip_5.0,8
9,99.33666666666667,98.02,0.0278965225150187,0.0636704910976812,GradientClip_5.0,9
10,99.50666666666666,98.09,0.0241050109863281,0.0616959729541093,GradientClip_5.0,10
11,99.64166666666668,98.06,0.0202127618715167,0.0616858794916886,GradientClip_5.0,11
12,99.67166666666668,98.08,0.0184186346511046,0.0614043693240266,GradientClip_5.0,12
13,99.73,98.16,0.0166494705388943,0.060045549087692,GradientClip_5.0,13
14,99.79166666666669,98.08,0.0145385752022266,0.0589973243437008,GradientClip_5.0,14
15,99.825,98.19,0.012848356582721,0.0595219242538209,GradientClip_5.0,15
