epoch,train_acc,test_acc,train_loss,test_loss
1,68.72,78.3,0.9915798711776733,0.7347676877975464
2,78.17,84.05,0.7228584062576294,0.5493470749855042
3,85.05,88.5,0.5268680969238281,0.4244163072109222
4,88.05,89.5,0.42881611235141753,0.35838378047943115
5,89.49,93.35,0.37054841661453247,0.2859257047176361
6,90.29,92.0,0.3447018902778625,0.2771746451854706
7,91.67,93.4,0.29992614433765413,0.24482299375534058
8,92.12,93.5,0.2783485321521759,0.2202085407972336
9,92.63,94.1,0.2607232029914856,0.21235002958774565
10,92.79,95.0,0.2523965102672577,0.19294061207771301
