optimizer,threshold,convergence_rate_pct,success_count,total_count
SGD_Momentum,1.5361749466718298e-05,10.0,10,100
SGD_Momentum,2.0187602546790388e-05,10.0,10,100
SGD_Momentum,2.6529484644318946e-05,10.0,10,100
SGD_Momentum,3.4863652276780875e-05,10.0,10,100
SGD_Momentum,4.581597669054491e-05,10.0,10,100
SGD_Momentum,6.020894493336126e-05,10.0,10,100
SGD_Momentum,7.912342618981327e-05,10.0,10,100
SGD_Momentum,0.0001039798418481,10.0,10,100
SGD_Momentum,0.0001366448349295,10.0,10,100
SGD_Momentum,0.0001795714494371,10.0,10,100
SGD_Momentum,0.0002359833466782,10.0,10,100
SGD_Momentum,0.0003101168926574,10.0,10,100
SGD_Momentum,0.0004075392965871,10.0,10,100
SGD_Momentum,0.0005355666917706,10.0,10,100
SGD_Momentum,0.0007038135554931,10.0,10,100
SGD_Momentum,0.0009249147277217,10.0,10,100
SGD_Momentum,0.0012154742500762,10.0,10,100
SGD_Momentum,0.0015973122800602,10.0,10,100
SGD_Momentum,0.0020991037201085,10.0,10,100
SGD_Momentum,0.0027585316176291,10.0,10,100
SGD_Momentum,0.0036251170499885,10.0,10,100
SGD_Momentum,0.0047639380104013,10.0,10,100
SGD_Momentum,0.0062605165720148,10.0,10,100
SGD_Momentum,0.0082272413417004,10.0,10,100
SGD_Momentum,0.010811807510766,10.0,10,100
SGD_Momentum,0.0142083083253392,10.0,10,100
SGD_Momentum,0.0186718109129192,10.0,10,100
SGD_Momentum,0.0245375110663981,10.0,10,100
SGD_Momentum,0.0322459054529639,10.0,10,100
SGD_Momentum,0.0423758716060406,10.0,10,100
SGD_Momentum,0.0556881399094526,10.0,10,100
SGD_Momentum,0.0731824221907618,10.0,10,100
SGD_Momentum,0.0961724871115296,10.0,10,100
SGD_Momentum,0.1263848202934297,10.0,10,100
SGD_Momentum,0.1660882782627716,10.0,10,100
SGD_Momentum,0.2182644728397487,10.0,10,100
SGD_Momentum,0.2868316813342015,10.0,10,100
SGD_Momentum,0.3769390975388363,10.0,10,100
SGD_Momentum,0.495353520895917,10.0,10,100
SGD_Momentum,0.6509675230458177,10.0,10,100
SGD_Momentum,0.8554672535565685,10.0,10,100
SGD_Momentum,1.1242100350620865,10.0,10,100
SGD_Momentum,1.4773776525985127,20.0,20,100
SGD_Momentum,1.9414919457438815,20.0,20,100
SGD_Momentum,2.5514065200312874,20.0,20,100
SGD_Momentum,3.35292414924956,20.0,20,100
SGD_Momentum,4.406236427773573,20.0,20,100
SGD_Momentum,5.790443980602483,20.0,20,100
SGD_Momentum,7.609496685459884,20.0,20,100
SGD_Momentum,10.0,40.0,40,100
