path,ok,rows,cols,na_cells,inf_cells,issue
experiments/2d_optimization/2d/2D_Rosenbrock_Adam_seed1819.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_Adam_seed2021.csv,True,675,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_Adam_seed42.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_Adam_seed456.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_Adam_seed789.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed1011.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed1213.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed123.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed1415.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed1617.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed1819.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed2021.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed42.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed456.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SAM_SGD_seed789.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed1011.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed1213.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed123.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed1415.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed1617.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed1819.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed2021.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed42.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed456.csv,True,1000,5,0,0,
experiments/2d_optimization/2d/2D_Rosenbrock_SGD_seed789.csv,True,1000,5,0,0,
experiments/2d_optimization/2d_optimization_results.csv,True,60,23,169,0,
experiments/2d_visualization/2d_visualization_manifest.csv,True,3,4,0,0,
experiments/ablation/Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1011.csv,True,581,5,0,0,
