experiment,file,rows,seed,max_epoch,n_epoch_points,max_iter,n_iter_points
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1011.csv,1000,1011.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1213.csv,1000,1213.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed123.csv,1000,123.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1415.csv,1000,1415.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1617.csv,1000,1617.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed1819.csv,776,1819.0,,,775.0,776.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed2021.csv,1000,2021.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed42.csv,1000,42.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed456.csv,1000,456.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_Momentum_seed789.csv,1000,789.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed1011.csv,1000,1011.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed1213.csv,1000,1213.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed123.csv,1000,123.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed1415.csv,1000,1415.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed1617.csv,1000,1617.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed1819.csv,1000,1819.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed2021.csv,1000,2021.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed42.csv,1000,42.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed456.csv,1000,456.0,,,999.0,1000.0
ablation,ablation/Ablation_2D_Rosenbrock_SGD_seed789.csv,1000,789.0,,,999.0,1000.0
ablation,ablation/ablation_results.csv,50,,775.0,4.0,1000.0,4.0
ablation_comprehensive,ablation_comprehensive/ablation_adaptive_lr.csv,20,,20.0,1.0,,
ablation_comprehensive,ablation_comprehensive/ablation_momentum.csv,10,,10.0,1.0,,
ablation_comprehensive,ablation_comprehensive/ablation_sam.csv,20,,,,,
ablation_comprehensive,ablation_comprehensive/ablation_weight_decay.csv,20,,20.0,1.0,,
adam_adamw_comparison,adam_adamw_comparison/adam_l2_vs_adamw_comparison.csv,160,,344.0,4.0,2000.0,4.0
advanced_ablation,advanced_ablation/ablation_summary.csv,8,,,,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed456.csv,10,456.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_All_Combined_seed789.csv,10,789.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed456.csv,10,456.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_EMA_seed789.csv,10,789.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed456.csv,10,456.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_LabelSmoothing_seed789.csv,10,789.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed1011.csv,10,1011.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed1213.csv,10,1213.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed123.csv,10,123.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed1415.csv,10,1415.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed1617.csv,10,1617.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed1819.csv,10,1819.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed2021.csv,10,2021.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed42.csv,10,42.0,10.0,10.0,,
advanced_ablation,advanced_ablation/AdvAblation_AMP_only_seed456.csv,10,456.0,10.0,10.0,,
