path,experiment,rows,status,nan_cells,inf_cells,max_abs_numeric,has_axis,has_loss_like
results_proposal_full_20260223_v2\experiments\2d_optimization\2d_optimization_results.csv,2d_optimization,60,ok,0,0,2021.0,True,True
results_proposal_full_20260223_v2\experiments\2d_visualization\2d_visualization_manifest.csv,2d_visualization,3,no_metric_cols,0,0,437983.0,False,False
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1011.csv,ablation,581,ok,0,0,1256.7694091796875,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1213.csv,ablation,1000,ok,0,0,3233.735107421875,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed123.csv,ablation,1000,ok,0,0,999.0,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1415.csv,ablation,1000,ok,0,0,999.0,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1617.csv,ablation,1000,ok,0,0,2338.1806640625,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed1819.csv,ablation,1000,ok,0,0,999.0,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed2021.csv,ablation,1000,ok,0,0,4585.5712890625,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed42.csv,ablation,1000,ok,0,0,999.0,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed456.csv,ablation,1000,ok,0,0,999.0,True,True
results_proposal_full_20260223_v2\experiments\ablation\Ablation_2D_Rosenbrock_Adam_NoBeta2_seed789.csv,ablation,466,ok,0,0,2250.465576171875,True,True
