path,bytes,sha1,w,h,mean,std,p01,p99,dyn,content_ratio,status
results_smoke_terminal_check/convergence_validation/convergence_rate_comparison.png,204494,592b12acb54fa56841fba49768a0d804e375786f,2100,750,245.96450805664062,35.333431243896484,42.0,255.0,213.0,0.10590920634920635,ok
results_smoke_terminal_check/saddle_escape/saddle_point_escape_comparison.png,754723,e3244c8bbe381fe061409cbbcf5aadc3b02735be,4170,3565,239.4091033935547,41.05289840698242,0.0,255.0,255.0,0.15982900636012928,ok
results_smoke_terminal_check/visualizations/2d_training_results.png,444921,9d43717a076a6cfb80391fd464ed0a4829e6cddf,4170,2955,251.69761657714844,19.28853988647461,166.0,255.0,89.0,0.06054113054733878,ok
results_smoke_terminal_check/visualizations/other_training_results.png,215399,78222d5f6c88887c7194e6d15f2c61e0bb1dad1c,4170,2955,252.82643127441406,18.210941314697266,204.0,255.0,51.0,0.03045344435111809,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,135406,793144d4bb295b714675aa9c796618b066d4cd04,2952,1485,250.78173828125,23.7713623046875,133.0,255.0,122.0,0.05896932285821175,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,146503,8b2800a480e8c9a2313815c6c159ae83b07e86aa,3286,1752,218.3053741455078,54.99382400512695,38.0,255.0,217.0,0.3466859542489654,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,145694,55edfd814be459113d947171c527102ea4bd5177,3192,1752,217.2758331298828,55.37074661254883,38.0,255.0,217.0,0.3566328778567423,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,137021,92c51eb935df40ba246d73905ad03e81a999f8a9,2952,1752,230.0668182373047,48.8102912902832,38.0,255.0,217.0,0.23654441381742586,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,311982,c6db45cab555658230e5358574f4a2d292b9c0f8,2952,1752,241.29730224609375,25.09528160095215,133.0,255.0,122.0,0.39144326731509327,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,149165,4f6cad2bfad776ab44714a5068ab75a818f55322,2952,1752,222.76071166992188,28.162378311157227,139.0,255.0,116.0,0.7013888888888888,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,196452,0a63b06b898eb699d7552e486b584d0fb69fe5f7,2352,2052,250.7205352783203,23.474090576171875,133.0,255.0,122.0,0.05631700779727095,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,303962,66b32d0423e24fb4e2b181ec9ac17843978c4e78,2952,1752,236.9846954345703,25.5849552154541,133.0,255.0,122.0,0.6981635776688817,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,294441,c13110c9adc9592e6394e05f8b8084fb22a94f8a,2952,1752,235.09974670410156,25.631227493286133,133.0,255.0,122.0,0.6675452599274851,ok
results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rosenbrock_trajectory_overlay.png,141969,94cca3caafa4f910695738ff61084ee53f9b1b94,2352,2052,252.076171875,19.794628143310547,156.0,255.0,99.0,0.04089941288406201,ok
results_proposal_full_20260223_v2/adam_adamw_comparison/adam_l2_vs_adamw_comparison.png,109746,ad9ae012b59f1ea17d66cad465f2f61adb2bb24b,2100,750,250.5149383544922,25.865999221801758,66.0,255.0,189.0,0.04733079365079365,ok
results_proposal_full_20260223_v2/hyperparameter_heatmaps/adam_beta_heatmap.png,172234,0f65adb3ff403ce8e99827d5f753d5d01e81a435,3365,2364,105.61124420166016,105.09597778320312,30.0,255.0,225.0,0.3631855243209811,ok
results_proposal_full_20260223_v2/hyperparameter_heatmaps/momentum_beta_heatmap.png,177113,91f5467507f04542c3a60cb9e1e5116dd1dcb8b3,3373,2364,109.91704559326172,105.01569366455078,30.0,255.0,225.0,0.40217728823949317,ok
results_proposal_full_20260223_v2/visualizations/2d_training_results.png,970624,5e9b5f03d584431be5b2081c68d0d55f67220b3d,4170,2955,248.39492797851562,24.833988189697266,152.0,255.0,103.0,0.10169074892370368,ok
results_proposal_full_20260223_v2/visualizations/mnist_training_results.png,495938,93887a361822677dde0d6bd94abe82acf247bc91,4170,2955,240.05960083007812,33.274070739746094,151.0,255.0,104.0,0.2017325428996904,ok
results_proposal_full_20260223_v2/visualizations/other_training_results.png,419121,52b8db37fb96b6902b1ae926a15ad73480cab90f,4170,2955,236.8212432861328,35.19525909423828,78.0,255.0,177.0,0.2612415651235357,ok
results_proposal_full_20260223_v2/visualizations/2d_trajectories/adam_beta_trajectories_rosenbrock.png,405640,a33390524cad986f3e0dbf0c9225722ba4ec38a6,1484,1185,201.94400024414062,37.51677703857422,31.0,255.0,224.0,0.41698681861089315,ok
results_proposal_full_20260223_v2/visualizations/2d_trajectories/momentum_beta_trajectories_rosenbrock.png,429505,86a7954c847ab6637dfdf91fdf542e8963a2a797,1484,1185,201.96939086914062,37.18782424926758,32.0,255.0,223.0,0.42069955758754424,ok
results_proposal_full_20260223_v2/visualizations/2d_trajectories/optimizer_comparison_rosenbrock.png,408891,32e498a94ad026682dfe4bc7cdb93ad1ad7722af,1484,1185,202.40463256835938,35.83595275878906,42.0,255.0,213.0,0.4140116232784014,ok
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,145184,e25b6261be41e329d1d1e00ff98136d9d56f21c7,2970,1570,247.24478149414062,38.80623245239258,0.0,255.0,255.0,0.05941774432220292,ok
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,158377,cb94894be48b23c73e61fa2905ab6860318be98d,3354,1452,246.75857543945312,30.520498275756836,38.0,255.0,217.0,0.10096246248466122,ok
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,157999,ac5a5b75d1fbacc1e69b4682afc8e83a38f118ef,3260,1452,246.5812530517578,30.740211486816406,38.0,255.0,217.0,0.10356352143859116,ok
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,136251,adf45b542c4d70ca4452849d4558694c98045960,2952,1752,225.70411682128906,51.161460876464844,38.0,255.0,217.0,0.2821925929019564,ok
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,322612,763726a7a5d127cd486f134d8e592db57f5635f3,2952,1752,236.41574096679688,26.694580078125,133.0,255.0,122.0,0.5648811346846345,ok
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,128092,ddd0c1237859c6a2b043eef27dc1c40a1e78fd80,2952,1752,226.5403289794922,30.567224502563477,138.0,255.0,117.0,0.9184673574760862,ok
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,189561,e8598712c9c4255394cd77a14593bd5d1a3888d7,2352,2052,251.37033081054688,21.796859741210938,133.0,255.0,122.0,0.04672871829043508,ok
