path,width,height,bytes,gray_mean,gray_std,near_white_ratio,near_black_ratio,content_ratio,optimizer
results_proposal_full_20260223_v2/adam_adamw_comparison/adam_l2_vs_adamw_comparison.png,2100,750,109746,250.51524353027344,25.864633560180664,0.9532939682539684,0.0,0.0482526984126984,Unknown
results_proposal_full_20260223_v2/hyperparameter_heatmaps/adam_beta_heatmap.png,3371,2352,300971,137.49493408203125,110.86033630371094,0.4637345445446051,0.0,0.9881455622889916,Unknown
results_proposal_full_20260223_v2/hyperparameter_heatmaps/momentum_beta_heatmap.png,3384,2352,441179,142.65264892578125,109.71307373046876,0.477065693298596,0.0,0.9886189109213426,Unknown
results_proposal_full_20260223_v2/visualizations/2d_training_results.png,4170,2955,970624,248.39964294433597,24.82920455932617,0.9056111861779612,0.0,0.1021094190637337,Unknown
results_proposal_full_20260223_v2/visualizations/mnist_training_results.png,4170,2955,495938,240.07620239257807,33.24439239501953,0.8037110616075668,2.824136629782469e-05,0.2018451025981245,Unknown
results_proposal_full_20260223_v2/visualizations/other_training_results.png,4170,2955,419121,236.8253936767578,35.180850982666016,0.7441259175400796,1.3633763040329158e-05,0.2613557478889984,Unknown
results_proposal_full_20260223_v2/visualizations/2d_trajectories/adam_beta_trajectories_rosenbrock.png,1477,1176,400467,202.59036254882807,32.62881088256836,0.1875423155044008,0.0005406021582634,0.720562226244594,Unknown
results_proposal_full_20260223_v2/visualizations/2d_trajectories/momentum_beta_trajectories_rosenbrock.png,1477,1176,437983,202.56895446777344,32.51425552368164,0.1873914765635435,9.15396625813494e-05,0.7242099954402885,Unknown
results_proposal_full_20260223_v2/visualizations/2d_trajectories/optimizer_comparison_rosenbrock.png,1477,1176,428659,202.3912811279297,32.69497299194336,0.1879142313662093,0.0002348942285106,0.7206163440325352,Unknown
results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,2952,1485,145465,250.51608276367188,24.34618377685547,0.9424361044957252,0.0,0.0618082359274771,Unknown
