path,ok,w,h,std,nonwhite_ratio,flag
experiments/convergence_validation/convergence_rate_comparison.png,True,2100,750,24.760746002197266,0.10433714285714285,
experiments/hyperparam_sensitivity/adam_beta_sweep_2d_rosenbrock.png,True,2100,1800,90.02204895019531,0.6180420634920635,
experiments/hyperparam_sensitivity/momentum_beta_sweep_ackley.png,True,2250,1500,32.47686004638672,0.05280207407407407,
experiments/hyperparam_sensitivity/momentum_beta_sweep_rosenbrock.png,True,2250,1500,32.93585205078125,0.05686281481481482,
experiments/hyperparameter_heatmaps/adam_beta_heatmap.png,True,4420,2072,79.88516998291016,0.5525934022257551,
experiments/hyperparameter_heatmaps/momentum_beta_heatmap.png,True,4427,2072,79.7636947631836,0.5248933143669986,
experiments/init_ablation/visualizations/accuracy_comparison.png,True,3529,1752,43.93419647216797,0.3923447081002677,
experiments/init_ablation/visualizations/accuracy_distribution.png,True,4116,1751,27.0363712310791,0.05047330998973792,
experiments/init_ablation/visualizations/feature_heatmap.png,True,2932,2351,60.50819396972656,0.6319430702908344,
experiments/init_ablation/visualizations/summary_table.png,True,3315,2559,42.31521224975586,0.9622651429285455,
experiments/saddle_escape/saddle_point_escape_comparison.png,True,4166,3565,39.33841323852539,0.11171623083816833,
final_deliverables/visualizations/loss_landscape_Rastrigin.png,True,786,701,74.65376281738281,0.6333464008159917,
final_deliverables/visualizations/loss_landscape_Rosenbrock.png,True,813,701,99.15422821044922,0.6155623753099158,
hyperparameter_heatmaps/adam_beta_heatmap.png,True,4420,2072,79.88516998291016,0.5525934022257551,
hyperparameter_heatmaps/momentum_beta_heatmap.png,True,4427,2072,79.7636947631836,0.5248933143669986,
visualizations/2d_training_results.png,True,4170,2955,24.781192779541016,0.10245626848774787,
visualizations/2d_trajectories/adam_beta_trajectories_rosenbrock.png,True,1484,1185,37.51677703857422,0.8076677243622551,
visualizations/2d_trajectories/momentum_beta_trajectories_rosenbrock.png,True,1484,1185,37.18782424926758,0.8074561852445779,
visualizations/2d_trajectories/optimizer_comparison_rosenbrock.png,True,1484,1185,35.83595275878906,0.8053948161543099,
visualizations/mnist_training_results.png,True,4170,2955,33.41044998168945,0.2033558533883553,
visualizations/other_training_results.png,True,4170,2955,35.19525909423828,0.26134966138764115,
visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,True,2952,1575,25.984411239624023,0.0551924979567256,
visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,True,3354,1452,30.520498275756836,0.4108861833491855,
visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,True,3260,1452,30.740211486816406,0.4224224255944836,
