path,std,mean,bytes,optimizer
results_proposal_full_20260223_v2/experiments/hyperparameter_heatmaps/momentum_beta_heatmap.png,105.01569366455078,109.91704559326172,177113,Unknown
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/adam_beta_sweep_2d_rosenbrock.png,86.9598388671875,160.13507080078125,145900,Unknown
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_ackley.png,23.841447830200195,251.059326171875,184371,Unknown
results_proposal_full_20260223_v2/experiments/hyperparam_sensitivity/momentum_beta_sweep_rosenbrock.png,23.959022521972656,251.11280822753903,188916,Unknown
results_proposal_full_20260223_v2/experiments/saddle_escape/saddle_point_escape_comparison.png,38.6429443359375,243.6157073974609,521999,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_comparison.png,50.409366607666016,212.44078063964844,210493,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/accuracy_distribution.png,43.650577545166016,218.8782196044922,197188,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/feature_heatmap.png,61.638221740722656,180.1915435791016,204292,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/summary_table.png,42.76598739624024,236.9345550537109,230532,Unknown
results_proposal_full_20260223_v2/experiments/advanced_ablation/visualizations/training_time.png,39.20814895629883,243.86045837402344,200715,Unknown
