optimizer,experiments_count,avg_accuracy,avg_loss
GradientClip_None,1,97.50533333333334,0.082070834220477
GradientClip_10.0,1,97.50533333333334,0.082070834220477
GradientClip_5.0,1,97.50533333333334,0.082070834220477
GradientClip_1.0,1,97.46066666666668,0.0832680187291682
GradientClip_0.5,1,97.05133333333332,0.0984279531635467
AdamW,2,96.93,0.04492470109804458
SAM,3,95.179,752801294315645.0
SGD_Momentum,7,94.4631111111111,101603752966112.52
Unknown,5,94.45666666666668,0.47325783694949114
SAM_rho_0.2,1,91.768,0.4028722311703364
SAM_rho_0.1,1,91.712,0.3952227581191062
SAM_rho_0.05,1,91.634,0.3953508529432614
SAM_rho_0.02,1,91.603,0.3961714865970611
SAM_rho_0.01,1,91.58200000000002,0.3968548748079935
momentum,1,84.64999999999999,0.5901652145385742
adam,1,54.78333333333333,1.961616139094035
Adam,15,53.42661904761905,-93.89182396825782
SGD,17,47.049125000000004,134427115232174.5
LR_Schedule_Demo,1,0.5,0.3074122767399483
SAM_SGD,4,0.01,1.9289608829533804
Adam_start7,1,0.01,0.0
Adam_start2,1,0.01,0.0113711002202869
RMSProp,2,0.01,1.4040234109893626
Adam_start1,1,0.01,71.86106811349396
SAM_Adam_start7,1,0.01,0.0
SAM_Adam_start8,1,0.01,0.2230135513044999
SAM_Adam_start9,1,0.01,0.0758260081096658
SAM_SGD_start0,1,0.01,0.3956954180374946
SAM_Adam_start3,1,0.01,0.0721521038237108
SAM_Adam_start4,1,0.01,1.3624431838865014
SAM_Adam_start5,1,0.01,0.4216385278920626
SAM_Adam_start6,1,0.01,0.0546194944739987
SAM_SGD_start1,1,0.01,1.1612688208534714
SAM_SGD_start2,1,0.01,0.2978810184364973
Adam_start3,1,0.01,0.5958508923547373
Adam_start8,1,0.01,0.1932277602585314
SAM_Adam_start2,1,0.01,0.0543658849485292
SAM_Adam_start1,1,0.01,1.108153644656021
SAM_Adam_start0,1,0.01,0.1052711929175541
Adam_start9,1,0.01,0.9206559333493708
SGD_start8,1,0.01,0.7558374405673048
SGD_start0,1,0.01,0.6273139335886174
SGD_Momentum_start8,1,0.01,1.9169270702595995
SGD_Momentum_start9,1,0.01,1.8262428386573832
SAM_SGD_start4,1,0.01,1.3897625854514937
SAM_SGD_start3,1,0.01,0.3341441816456897
SAM_SGD_start5,1,0.01,0.6049975893173671
SAM_SGD_start6,1,0.01,0.3005749440610677
SGD_Momentum_start3,1,0.01,1.806440418244134
SGD_Momentum_start4,1,0.01,2.523923840055031
SAM_SGD_start7,1,0.01,0.0
SAM_SGD_start8,1,0.01,0.507884143963661
SAM_SGD_start9,1,0.01,0.3276171017465175
SGD_Momentum_start0,1,0.01,1.8530533486278375
SGD_Momentum_start1,1,0.01,3.2586136995207564
SGD_Momentum_start2,1,0.01,1.8482558349051676
SGD_start4,1,0.01,1.6374169215305074
SGD_start7,1,0.01,0.0
SGD_start6,1,0.01,0.5494172794436415
SGD_start5,1,0.01,0.8502574390199867
SGD_Momentum_start7,1,0.01,0.0
SGD_Momentum_start6,1,0.01,1.830837568515966
SGD_start1,1,0.01,1.4105539868025485
SGD_start2,1,0.01,0.550385104105439
SGD_start9,1,0.01,0.5779778926842328
SGD_start3,1,0.01,0.5813093781428189
Adam_start6,1,0.0099999999999999,0.0968825814722224
Adam_start5,1,0.0099999999999999,13.866133680713954
Adam_start0,1,0.0099999999999999,1.5722983296222424
Adam_start4,1,0.0099999999999999,7.344450765610364
SGD_Momentum_start5,1,0.0099999999999999,6.954385074129423
SchedulerAblation_SGD,1,0.0099999999999999,0.4395507699982108
Adam_NoBeta2,1,,0.008912745230765
Adam_L2,1,,8.994651367952153e-09
SAM_Adam,1,,0.0972772389650344
