basename,path,hash,bytes
2d_convergence_profile_by_threshold.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,4be8823a2031b530173e2b06212e3fb0,134722
2d_convergence_profile_by_threshold.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_profile_by_threshold.png,8f1d51c9075b3c8e7a8bb721fc4c9e78,147145
2d_convergence_rate_by_optimizer.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,6313653a71c65985d563bb0e3f053435,158377
2d_convergence_rate_by_optimizer.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,6313653a71c65985d563bb0e3f053435,158377
2d_convergence_rate_by_optimizer.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_convergence_rate_by_optimizer.png,82922d1844f14005292f4ae577126153,146503
2d_convergence_rate_strict_by_optimizer.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,3b1bd0bd7eef7da1d1798dc2055a596d,157999
2d_convergence_rate_strict_by_optimizer.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,639cd4cb1cbebe4ff853140143953e87,145694
2d_convergence_rate_strict_by_optimizer.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_convergence_rate_strict_by_optimizer.png,f7144465665159299a1a442903ae566c,146101
2d_final_loss_by_optimizer.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,1cb312a1854cc3f792f4ae0cf67161f1,129558
2d_final_loss_by_optimizer.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,3e3c501b5e4729bd94c24eb60afd4b49,137487
2d_final_loss_by_optimizer.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_final_loss_by_optimizer.png,6ba283dff0626bef73b85d22079ec38e,135356
2d_rastrigin_grad_norm_convergence.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,09f66ae98a3072b354a2caa43d3e494d,307874
2d_rastrigin_grad_norm_convergence.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,1b136bdc0b8a4adaedc77127913b75f7,341193
2d_rastrigin_grad_norm_convergence.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_grad_norm_convergence.png,bfc7b2e64e320d500c6836e4568d4bbb,466932
2d_rastrigin_loss_convergence.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,13fb8ffbecd53b4a8b26610f6fde8d70,137695
2d_rastrigin_loss_convergence.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,7083d4570959477663e3ecb9cef41ca1,97995
2d_rastrigin_loss_convergence.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rastrigin_loss_convergence.png,93159092e640672baefa1f01b2b782a0,221456
2d_rastrigin_trajectory_overlay.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,2fa11aa9341364300f4e8a2e3fd77597,187931
2d_rastrigin_trajectory_overlay.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,5fc91185507d2f67139792786c94ce73,112602
2d_rastrigin_trajectory_overlay.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rastrigin_trajectory_overlay.png,94b07ea73177d03fff3843ddd1c89a5e,134580
2d_rosenbrock_grad_norm_convergence.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,37e2e1dcd627a146a0ec158ed125beed,394129
2d_rosenbrock_grad_norm_convergence.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,73ed81676c756e6c092859497308f4d9,213683
2d_rosenbrock_grad_norm_convergence.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rosenbrock_grad_norm_convergence.png,ae3dce19bbadc6d5ad8274b7a60fbc9e,257256
2d_rosenbrock_loss_convergence.png,results_smoke_terminal_check/visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,1062520e1a6c30f5b64f66abcd8e993e,331992
2d_rosenbrock_loss_convergence.png,results_proposal_full_20260223_v2/visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,48fb0d21ee3fac0ee6f25ed44f0c8278,439517
2d_rosenbrock_loss_convergence.png,results_proposal_full_20260223/visualizations/static/2d_optimization/2d_rosenbrock_loss_convergence.png,c91e72af204c3ad24ad426d55c5ac631,156188
