dataset,model,optimizer,seed,final_test_acc,final_loss,run_signature,completed
2D,Rosenbrock,SGD,42,,2.7669225,85e87176a9010614c4b981965b8d9e5ff02528e2b1666bbab4d28d651e54527b,True
2D,Rosenbrock,SGD,123,,2.7669225,6da0b04cfc5b0963017f64e06bdc7f936ed15dc468540cbe55df46f5b7e70a25,True
2D,Rosenbrock,SGD,456,,2.7669225,33df06663556014070e38d94179cc93ad67721472842bd7e5babbb2bb3f0e2ca,True
2D,Rosenbrock,SGD,789,,2.7669225,0d25e54fe46f2a8c84d2bf1e9f46234d9d8a32c3e1bb863b4f611699f536e3dc,True
2D,Rosenbrock,SGD,1011,,2.7669225,fbd6b08756b6a3fc03762747b58854befffb4d80ed466d7ee677b4630120dfeb,True
2D,Rosenbrock,SGD,1213,,2.7669225,b780a2533c5423f2ee78c16f1ce1914764c6c2e65af88b2f9f42a3bcc553a8f8,True
2D,Rosenbrock,SGD,1415,,2.7669225,b552d561d7bc6d6fd77d4a9261206f6f89dcfb5a4f55beba7184f011830c2c82,True
2D,Rosenbrock,SGD,1617,,2.7669225,a9a77412452b56429f655b9c295d00804a83b3c267a5ea35aa418c220830ef63,True
2D,Rosenbrock,SGD,1819,,2.7669225,57b97d031d5440d8b0a6eb08e730a41dead8464bc79ba75b79944da21e527172,True
2D,Rosenbrock,SGD,2021,,2.7669225,605829d4bb60338b29b66535f37a4e4de4ab4d9e5bac97fa49a37671fa49eef6,True
2D,Rosenbrock,Adam,42,,0.0003374754,849c7424263954665522f43c0624f2e4226190b2c4180e246c69a84ab7e540d1,True
2D,Rosenbrock,Adam,123,,0.0003374754,e29601af2ded49b5b9d86afbf901242d932322c25ffdf704a31370cc5a1449cc,True
2D,Rosenbrock,Adam,456,,0.0003374754,e42ba210f49e94470bf29c56522680b71418ad0ae0435ae890b42d6f84470105,True
2D,Rosenbrock,Adam,789,,0.0003374754,3938aa23ad695bb7568a3c6b80b1ed9ea664ae0f45c6750b6757396f4f71783e,True
2D,Rosenbrock,Adam,1011,,0.0003374754,00e4efbb813e3a7a5d79f6956cda7ddcc4d7e6a810c41c33008d01335f1b3a23,True
2D,Rosenbrock,Adam,1213,,0.0003374754,c56097068c1fe860cb79a189c90c7a5b0f45bb95d95f8a99df0a30c2ee4bd4b3,True
2D,Rosenbrock,Adam,1415,,0.0003374754,e7b0537a099f33662a902d0979e0c35e6c0faa6f69ba35fd64d63b6360d3b6a9,True
2D,Rosenbrock,Adam,1617,,0.0003374754,08fe945770527f5b6d3b66b15293cc0868552d3e6de295c7b265517c56be6c9f,True
2D,Rosenbrock,Adam,1819,,0.0003374754,84f03f4d446b34935417a70eba29b21af2063a7e233739ac8aa6e74671d60297,True
2D,Rosenbrock,Adam,2021,,0.0003374754,20b2b419ab8d50b0d39ee9607bc5f1cbbc8b3241fabf9f772095e404b2e0fc1f,True
2D,Rosenbrock,SAM_SGD,42,,0.38977677,7ddf74ff8a2089d8b1405392ebec9da6b2e0f2df66be29153d05cff32ff1480d,True
2D,Rosenbrock,SAM_SGD,123,,0.38977677,5bba64404add824d305dc2bed76f7080f6b2413beb362e42a332b2d755f27fb8,True
2D,Rosenbrock,SAM_SGD,456,,0.38977677,4f4a4c9c17017896fcd514793ab69bdac60fff051bce84fcc4d0ae1686a76eb0,True
