epoch,train_acc,test_acc,train_loss,test_loss
1,90.34,86.55,0.3379749234318733,0.4420958249568939
2,92.34,88.25,0.2724453834295273,0.3890035591125488
3,93.81,89.45,0.2156799761772155,0.333310293674469
4,95.05,90.5,0.1816060965836048,0.3079812750816345
5,95.74,90.9,0.1527300759911537,0.2853416821956634
6,96.13,90.65,0.1404246134400367,0.2735018169879913
7,97.08,92.0,0.1161492816209793,0.2522088768482208
8,97.59,92.15,0.0987695852100849,0.2392714978456497
9,97.76,92.1,0.0902715178251266,0.2370304448604583
10,98.0,92.5,0.0863835869461298,0.2366804883480072
