epoch,train_acc,test_acc,train_loss,test_loss
1,89.34,85.2,0.3622786856532097,0.4828040335178375
2,92.21,88.05,0.2776209647655487,0.399808130979538
3,93.65,89.1,0.2225000794649124,0.3461389832496643
4,94.75,90.25,0.1914169265627861,0.3243012709617615
5,95.51,90.7,0.1613138588666915,0.3006240191459656
6,95.88,90.85,0.1455241884231567,0.2829015351533889
7,96.83,91.55,0.1210454479157924,0.2647676745653152
8,97.35,91.85,0.1039035970270633,0.2492986516952514
9,97.57,92.15,0.0942664117336273,0.2464522655010223
10,98.07,92.6,0.0840621805846691,0.236984705209732
