epoch,train_acc,test_acc,train_loss,test_loss
1,90.76,86.75,0.3266452171325683,0.4336583905220031
2,92.65,88.65,0.2601426026105881,0.3794345242977142
3,94.27,90.2,0.202216137599945,0.3245068399906158
4,95.36,91.0,0.1688230418205261,0.2977416529655456
5,96.1,91.25,0.1405071811437606,0.2736518495082855
6,96.68,91.75,0.1262273646116256,0.2612400300502777
7,97.53,92.3,0.1048480393707752,0.2426974014043807
8,97.88,92.55,0.0890073510169982,0.2299744035005569
9,98.12,92.6,0.0809242416381836,0.2264342364072799
10,98.38,93.15,0.0760949169814586,0.2256533617973327
