epoch,train_acc,test_acc,train_loss,test_loss
1,90.32,86.3,0.33775068962574,0.4446218800544739
2,92.63,88.35,0.264688677406311,0.3832848682403564
3,94.0,89.7,0.2131699142217636,0.3333620929718017
4,95.18,90.9,0.1764628369987011,0.3016014943122864
5,95.88,91.3,0.1493032470703125,0.2821318299770355
6,96.46,91.4,0.1356125760793685,0.2682107818126678
7,97.12,92.0,0.1156327689111232,0.249235720038414
8,97.66,92.3,0.0979161122977733,0.2353230369091034
9,97.8,92.4,0.0887606761455536,0.2314458051919937
10,98.06,92.8,0.0845065414488315,0.2283291823863983
