epoch,train_acc,test_acc,train_loss,test_loss
1,89.45,85.8,0.3653243287086486,0.4800632474422455
2,91.91,87.8,0.2858387925624847,0.4043842389583588
3,93.46,89.5,0.2312978031873703,0.3516910631656647
4,94.57,90.25,0.1978942597687244,0.3255284237861633
5,95.27,90.95,0.1671018834352493,0.3030656938552856
6,95.82,90.95,0.1511032659053802,0.2831637524366379
7,96.83,91.95,0.1243054658710956,0.2616354037523269
8,97.3,92.25,0.1072827813625335,0.2469241816997528
9,97.51,92.1,0.0972092160224914,0.2420466682910919
10,98.03,92.7,0.0862367291122675,0.2347090846300125
