epoch,train_acc,test_acc,train_loss,test_loss
1,89.63,85.35,0.3636858631134033,0.4728658008575439
2,92.12,87.9,0.2823639489412308,0.3988347425460815
3,93.54,89.7,0.2279010809659958,0.347319326877594
4,94.65,90.5,0.1961820383965969,0.3249894587993622
5,95.36,90.7,0.1653048159122467,0.3017894968986511
6,95.95,90.8,0.1517925455331802,0.2859916390180588
7,96.68,91.95,0.1251829977333545,0.2638264677524566
8,97.24,92.0,0.1077592268288135,0.2491845465898513
9,97.5,91.75,0.0973948632240295,0.2446790205240249
10,98.0,92.55,0.0868922387033701,0.2376866748332977
