epoch,train_acc,test_acc,train_loss,test_loss
1,69.44,79.75,0.99120206489563,0.6875031294822693
2,78.11,85.2,0.7216664402961731,0.5378008687496185
3,84.29,88.35,0.5335901319503784,0.4119018092155456
4,87.68,91.8,0.4226144568681717,0.3310874083042144
5,89.6,92.4,0.3644095135211944,0.2886076340675354
6,90.65,92.85,0.3369615490198135,0.2678784943819046
7,92.06,93.45,0.2891510871648788,0.2375396149158477
8,92.56,94.45,0.2751952614307403,0.2259422950744629
9,92.46,94.25,0.2607624857902527,0.2212262213230133
10,92.87,94.25,0.2505862056255341,0.2167584702968597
