epoch,train_acc,test_acc,train_loss,test_loss
1,90.2,86.25,0.3846476272344589,0.5032955930233002
2,92.82,88.6,0.3183364779949188,0.4359759767055511
3,94.32,90.25,0.2731245730876923,0.3906507937908172
4,95.35,91.55,0.2359203506469726,0.3550290558338165
5,95.93,92.05,0.2120422154426574,0.3337230813503265
6,96.64,92.45,0.1938330238819122,0.3144017181396484
7,97.32,92.65,0.1789024624943733,0.302099609375
8,97.82,93.3,0.165062501168251,0.2863853886127472
9,98.02,93.45,0.1549077684879303,0.2828828415870666
10,98.26,93.7,0.1531547968387603,0.2800751571655273
