epoch,train_acc,test_acc,train_loss,test_loss
1,90.28,86.65,0.467542162656784,0.5835662817955017
2,92.94,88.75,0.3876645369529724,0.5025491175651551
3,94.28,90.6,0.3432633717536926,0.4576616859436035
4,95.3,91.6,0.3051014696359634,0.4200047135353088
5,95.95,92.0,0.2808692189216614,0.3998508069515228
6,96.48,92.15,0.2623997360706329,0.3808159785270691
7,97.12,92.95,0.2468620313882827,0.3678032557964324
8,97.7,93.5,0.2355784330368042,0.3531849913597107
9,97.97,93.75,0.2211927798271179,0.3460301721096039
10,98.17,93.95,0.2225788733720779,0.3440702521800995
