epoch,train_acc,test_acc,train_loss,test_loss
1,90.35,86.55,0.3331642867445946,0.4489196543693542
2,92.51,88.75,0.2633105915546417,0.3847438623905181
3,94.08,89.85,0.2064223154306411,0.3292204315662384
4,95.26,91.05,0.1741175558149814,0.303693067073822
5,95.92,91.15,0.146747750210762,0.2782101593017578
6,96.35,91.3,0.1359481408119201,0.270117406129837
7,97.28,92.2,0.1127612591564655,0.2498504869937896
8,97.69,92.3,0.0964603275060653,0.2372319023609161
9,98.0,92.3,0.0878432677030563,0.2340812476873398
10,98.14,92.85,0.0834444407790899,0.2326946420669555
