epoch,train_acc,test_acc,train_loss,test_loss
1,90.26,86.3,0.3393266509294509,0.4502033560276031
2,92.17,87.85,0.2749619578838348,0.395128849029541
3,93.78,89.6,0.2181140352368354,0.3417920680046081
4,94.98,90.65,0.1829551216423511,0.3123977925777435
5,95.72,91.0,0.1535921907901763,0.2893507068157196
6,96.26,91.2,0.1392865912556648,0.2722638771533966
7,97.14,92.05,0.1162392342448234,0.2530409214496613
8,97.6,92.3,0.0993763968467712,0.2387696673870086
9,97.75,92.25,0.0903184010028839,0.2343456227779388
10,98.12,92.65,0.0842510359674692,0.2321015207767486
