epoch,train_acc,test_acc,train_loss,test_loss
1,89.9,86.35,0.3503817090988159,0.4618187961578369
2,92.12,88.05,0.2846982398509979,0.4090444312095642
3,93.37,89.05,0.2311904292583465,0.3600436835289001
4,94.5,90.1,0.1989104280471801,0.3346495480537415
5,95.13,90.2,0.1740782656908035,0.3205147776603699
6,95.31,90.65,0.1610724479317665,0.3058301959037781
7,96.33,91.4,0.1353191541790962,0.285516922712326
8,96.72,91.4,0.1183477446317672,0.2691447887420654
9,97.12,91.3,0.1094942774772644,0.2706909191608428
10,96.96,91.7,0.1114604419022798,0.2739503903388977
