epoch,train_acc,test_acc,train_loss,test_loss
1,69.63,78.8,0.9877161306381226,0.7169217567443847
2,78.56,83.35,0.7178829109191894,0.5622776300907135
3,84.74,88.85,0.5272123617172241,0.3978790974617004
4,88.37,91.85,0.4189579658985138,0.3241422758102417
5,89.33,93.2,0.3794504748344421,0.2730873911380768
6,89.63,92.4,0.3447428848266601,0.2624097698926925
7,91.78,94.15,0.3040186689615249,0.2322496964931488
8,92.01,94.15,0.2789503261089325,0.2263484061956405
9,92.57,94.35,0.2644687943458557,0.2161534118652343
10,92.83,94.9,0.2559110313177108,0.2092090221643447
