epoch,train_acc,test_acc,train_loss,test_loss
1,86.06,82.05,0.5099997894763947,0.6288682279586792
2,90.16,86.35,0.3518936780452728,0.4634369027614593
3,91.8,87.6,0.2916092707157135,0.4016051793098449
4,92.98,89.0,0.2581739786863327,0.3743759434223175
5,93.72,89.35,0.2301802204608917,0.3514289507865906
6,93.87,89.85,0.2148161217927932,0.3372127962112426
7,94.72,90.4,0.1919726007223129,0.3161819024085998
8,95.18,91.0,0.1742217139959335,0.3007701563835144
9,95.64,90.65,0.1586890848636627,0.290675343632698
10,96.04,91.15,0.1486082167506218,0.2837910451889038
