epoch,train_acc,test_acc,train_loss,test_loss
1,68.78,78.9,0.9905292762756348,0.7212840242385864
2,79.41,85.65,0.6959897436141967,0.5396867055892944
3,84.99,89.65,0.528306864643097,0.4004878153800964
4,87.88,91.4,0.424879101896286,0.3335737481117248
5,89.56,93.15,0.3617300307273864,0.2794537649154663
6,90.39,92.5,0.3313215140461921,0.2644190742969513
7,91.98,94.75,0.2918538531184196,0.2281759722232818
8,92.0,94.35,0.2807245970964431,0.2110530536174774
9,92.23,94.6,0.2598250650405884,0.1952460739612579
10,93.04,94.6,0.2469450566530227,0.2014658200740814
