epoch,train_acc,test_acc,train_loss,test_loss
1,90.41,86.35,0.3347600150704384,0.4439333822727203
2,92.29,88.9,0.2718654954671859,0.3929364466667175
3,93.89,89.9,0.2140547274112701,0.3394869563579559
4,94.96,90.4,0.1826271335601806,0.3146483769416809
5,95.61,90.7,0.1533830607891082,0.2915742452144623
6,96.11,90.85,0.1419674149513244,0.2789469338655472
7,97.1,92.25,0.1162785832345485,0.2579465985298156
8,97.55,92.15,0.0988106327056884,0.2441845939159393
9,97.71,91.95,0.0896220910549163,0.241554500579834
10,98.0,93.0,0.085830684351921,0.2415728006362915
