epoch,train_acc,test_acc,train_loss,test_loss
1,89.68,86.25,0.6126125469207764,0.7357067565917969
2,92.77,88.75,0.523504627609253,0.6407223057746887
3,93.96,89.95,0.4814746052742004,0.601079104423523
4,95.21,91.5,0.4435843820095062,0.5622979230880737
5,95.67,91.8,0.4155188756465912,0.5375089640617371
6,96.29,92.2,0.3980079080581665,0.5175492672920227
7,96.81,92.9,0.384999516582489,0.5079927296638489
8,97.27,93.1,0.3791863821983337,0.498405758857727
9,97.68,93.45,0.3597581354141235,0.4852021596431732
10,97.85,93.95,0.3625944548606872,0.4839584851264953
