epoch,train_acc,test_acc,train_loss,test_loss
1,90.48,86.2,0.3370323097348213,0.4565921168327331
2,92.7,88.95,0.2621418632030487,0.3822798552513122
3,94.22,90.3,0.205298459815979,0.3218807823657989
4,95.29,91.35,0.1699885718345642,0.2955835766792297
5,96.03,91.3,0.1460097135186195,0.2677761800289154
6,96.68,91.65,0.1262344232439994,0.2513404332399368
7,97.19,92.4,0.1118568213701248,0.2373281803131103
8,97.65,92.5,0.0979591470539569,0.2259815580844879
9,97.81,92.75,0.0894077333927154,0.2202068883180618
10,97.87,92.75,0.0836038071870803,0.2181756279468536
