epoch,train_acc,test_acc,train_loss,test_loss
1,90.27,86.35,0.3400273157596588,0.4484229102134704
2,92.59,88.45,0.2649407256603241,0.3815987997055053
3,93.9,89.75,0.2137534227371215,0.3290019679069519
4,95.11,91.1,0.1776794440746307,0.3027259931564331
5,95.75,91.15,0.1528856672048568,0.2800267325639725
6,96.42,91.8,0.1331992565631866,0.2586436384916306
7,97.0,92.5,0.1160310012817382,0.242076057434082
8,97.53,92.55,0.1014296058356761,0.2301999371051788
9,97.58,92.55,0.0910099976539611,0.2259185938835144
10,97.75,92.85,0.0888275098741054,0.2271480175256729
