epoch,train_loss,train_acc,val_loss,val_acc
1,1.4104887597601523,47.937777777777775,1.2539428293704986,54.72
2,0.9757885176011108,65.24,0.8842583984136582,68.32
3,0.762924256480553,73.19111111111111,0.7287974685430527,74.02
4,0.645108965987509,77.64,0.7008202821016312,75.6
5,0.5699101871895519,80.33777777777777,0.5824358522891998,79.34
6,0.5089945716106079,82.48,0.6312365293502807,79.04
7,0.4659440092827109,83.84666666666666,0.5597677692770958,80.64
8,0.4304430166428739,85.14666666666666,0.6268694251775742,79.42
9,0.3995275574905628,86.45777777777778,0.4381095454096794,84.94
10,0.3749271141449836,86.89333333333333,0.4725530207157135,83.78
11,0.3434543829749931,88.28444444444445,0.4954108878970146,83.14
12,0.3289749677377668,88.70222222222222,0.4632630005478859,84.08
13,0.3051979432136498,89.44888888888889,0.4182680487632751,85.62
14,0.2850249824325808,90.27777777777776,0.4381076782941818,85.38
15,0.2771264313804832,90.47111111111111,0.3844951465725899,86.8
16,0.259841388345442,91.04222222222222,0.4163533329963684,85.94
17,0.2416180574800819,91.72444444444444,0.3880152940750122,86.96
18,0.2339894714426588,91.82444444444444,0.4039877414703369,86.98
19,0.2206567975015125,92.4088888888889,0.4021585196256637,86.66
20,0.2069446115585213,92.68666666666668,0.3714356034994125,87.52
