epoch,optimizer,seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,final_test_acc
1,SGD_Momentum,456,1.6497214409438046,38.64,1.2617243528366089,53.32,0.3899306327104568,87.4,87.4
2,SGD_Momentum,456,1.1317067364738749,59.437777777777775,1.0159988522529602,63.88,0.3899306327104568,87.4,87.4
3,SGD_Momentum,456,0.8606248154220256,69.70222222222222,0.8490327775478363,70.6,0.3899306327104568,87.4,87.4
4,SGD_Momentum,456,0.7088839810510928,75.45555555555555,1.2243018090724944,64.58,0.3899306327104568,87.4,87.4
5,SGD_Momentum,456,0.622157634913244,78.34222222222222,0.6559402823448182,76.9,0.3899306327104568,87.4,87.4
6,SGD_Momentum,456,0.5522595104676756,80.69777777777777,0.621170175075531,78.36,0.3899306327104568,87.4,87.4
7,SGD_Momentum,456,0.4990311744199557,82.59555555555555,0.5643460571765899,80.58,0.3899306327104568,87.4,87.4
8,SGD_Momentum,456,0.4548521801321344,84.30222222222223,0.5493516221642494,81.82,0.3899306327104568,87.4,87.4
9,SGD_Momentum,456,0.4181584856811572,85.51777777777778,0.5130141526460648,81.98,0.3899306327104568,87.4,87.4
10,SGD_Momentum,456,0.3917065646330064,86.25111111111111,0.5006774097681046,83.04,0.3899306327104568,87.4,87.4
11,SGD_Momentum,456,0.3659678124822676,87.32,0.5466548830270768,81.54,0.3899306327104568,87.4,87.4
12,SGD_Momentum,456,0.3454411757517267,87.95333333333333,0.5168976932764053,83.06,0.3899306327104568,87.4,87.4
13,SGD_Momentum,456,0.3217894786291502,88.82666666666667,0.472799488902092,83.78,0.3899306327104568,87.4,87.4
14,SGD_Momentum,456,0.3016660061072219,89.55333333333333,0.47974703758955,84.14,0.3899306327104568,87.4,87.4
15,SGD_Momentum,456,0.2841219510459764,89.95333333333333,0.3984559401869774,86.2,0.3899306327104568,87.4,87.4
16,SGD_Momentum,456,0.2681036355100911,90.53111111111112,0.411960582435131,85.9,0.3899306327104568,87.4,87.4
17,SGD_Momentum,456,0.257589776428755,90.86666666666666,0.4075414896011352,86.54,0.3899306327104568,87.4,87.4
18,SGD_Momentum,456,0.2388131175063211,91.64222222222222,0.4370109334588051,85.48,0.3899306327104568,87.4,87.4
19,SGD_Momentum,456,0.2326041936705058,91.92,0.3839617133140564,86.76,0.3899306327104568,87.4,87.4
20,SGD_Momentum,456,0.2155205525711856,92.56,0.3607558861374855,87.66,0.3899306327104568,87.4,87.4
