beta,final_loss,iterations,converged,diverged,status,mean_speed,std_speed,smoothness,oscillation,final_grad_norm
0.5,0.06960647373207197,1500,False,False,max_iters,0.002913152265618706,0.0051075738440590004,0.016749351043159322,0.016090381246983566,0.29653484403752156
0.7,0.008366689389194047,1500,False,False,max_iters,0.0032463278413553016,0.005882803729318783,0.023300407501738056,0.017425734386697752,0.08826656041663
0.9,1.1642180097998894e-06,1500,False,False,max_iters,0.003823841001892413,0.010361515667272565,0.04102412086972144,0.018113318991793137,0.0009691694593373997
0.95,1.2339425909824566e-12,1090,True,False,converged,0.005796048718401927,0.01694910299679787,0.1424526269710393,0.0244692512741421,9.92762946806052e-07
0.99,6.964355974253086e-07,1500,False,False,max_iters,0.015942140673480182,0.02823915623825849,0.8093917990683207,0.04467105189346073,0.08919090752067288
