epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,grad_norm,effective_batch_size,original_batch_size,elapsed_seconds,learning_rate,grad_noise_var
1,0.4501760317392259,79.05833333333334,0.2702337000519037,92.43333333333334,0.2702337000519037,92.43333333333334,0.8206197859107334,128,128,7.821682691574097,0.0867929667936376,
2,0.2351954888676015,83.87,0.2030396573245525,94.41666666666669,0.2030396573245525,94.41666666666669,0.6076568556863636,128,128,15.760599374771118,0.0867081900771077,
3,0.1823148274379319,85.29,0.1711953639363249,94.95,0.1711953639363249,94.95,0.5488256147023034,128,128,23.57241940498352,0.0864541945024873,
4,0.1497039367307983,86.165,0.1450112297510107,96.01666666666668,0.1450112297510107,96.01666666666668,0.5461952223202764,128,128,31.46679377555847,0.0860319824742698,
5,0.1266563178450575,86.81666666666666,0.1289184348036845,96.43333333333334,0.1289184348036845,96.43333333333334,0.4045199948362584,128,128,39.37088966369629,0.0854432202704403,
6,0.1103373821383403,87.2,0.1176120412225524,96.75,0.1176120412225524,96.75,0.7414539459335123,128,128,47.414411544799805,0.0846902314664376,
7,0.0974708325913732,87.54166666666667,0.1091657141223549,97.05,0.1091657141223549,97.05,0.5542385811274635,128,128,55.54670310020447,0.083775987765063,
8,0.0871890828684325,87.80666666666667,0.1041912296786904,97.13333333333334,0.1041912296786904,97.13333333333334,0.6277969616141119,128,128,63.53020215034485,0.0827040972685278,
9,0.0781641466393007,88.045,0.0974049004726111,97.38333333333334,0.0974049004726111,97.38333333333334,0.4406804125719939,128,128,71.4175488948822,0.0814787902389215,
10,0.0710739536449242,88.24333333333334,0.0928733861073851,97.38333333333334,0.0928733861073851,97.38333333333334,0.3599889636658644,128,128,83.64266228675842,0.0801049024033005,0.1800441443920135
11,0.0648479643520585,88.45833333333333,0.0895481348658601,97.58333333333331,0.0895481348658601,97.58333333333331,0.4711005747971707,128,128,91.61211490631104,0.0785878558692823,
12,0.0597688577168784,88.55833333333334,0.0866617892558376,97.53333333333332,0.0866617892558376,97.53333333333332,0.4988338374857003,128,128,99.43282794952393,0.0769336377264641,
13,0.0551013273774023,88.65166666666667,0.0829119028834005,97.68333333333334,0.0829119028834005,97.68333333333334,0.3627719286677338,128,128,107.35630226135254,0.0751487764181151,
14,0.0511869598550819,88.82666666666667,0.08224129009371,97.63333333333334,0.08224129009371,97.63333333333334,0.419057872946337,128,128,115.24602031707764,0.073240315976394,
15,0.0475969866571409,88.915,0.0790770505554974,97.81666666666666,0.0790770505554974,97.81666666666666,0.2952335125304551,128,128,123.11748719215392,0.0712157882227714,
16,0.0443976420679646,88.98,0.078209664983054,97.76666666666668,0.078209664983054,97.76666666666668,0.3859452593119912,128,128,131.03937792778015,0.0690831830433722,
17,0.0418373922689407,89.09,0.0773734667648871,97.71666666666668,0.0773734667648871,97.71666666666668,0.3568144706136664,128,128,139.01686596870422,0.0668509168565449,
18,0.0392824327175933,89.16833333333334,0.0764562347903847,97.76666666666668,0.0764562347903847,97.76666666666668,0.4075619116218976,128,128,146.9491777420044,0.0645277993971034,
19,0.0371113486535035,89.24333333333334,0.0748720481060445,97.81666666666666,0.0748720481060445,97.81666666666666,0.3263419125143644,128,128,154.9763650894165,0.0621229989483288,
20,0.0350161643910676,89.29666666666667,0.0734428965176145,97.8,0.0734428965176145,97.8,0.2715632248144373,128,128,167.34440422058103,0.0596460061589435,0.1127800941467285
21,0.0333631080332525,89.325,0.07256894512102,97.93333333333334,0.07256894512102,97.93333333333334,0.1955856655585728,128,128,175.2045829296112,0.057106596587857,
22,0.031682674221306,89.41166666666666,0.0737242462734381,97.75,0.0737242462734381,97.75,0.4394109362447941,128,128,182.9743332862854,0.0545147921245003,
23,0.0301720233704735,89.42833333333333,0.071830363633732,97.83333333333331,0.071830363633732,97.83333333333331,0.1715491993852908,128,128,190.8033127784729,0.0518808214370075,
24,0.0288072878018162,89.48666666666666,0.0718793231062591,97.71666666666668,0.0718793231062591,97.71666666666668,0.2850285746665904,128,128,198.61392378807068,0.0492150796043355,
25,0.0277150469871847,89.52,0.0704550913845499,97.86666666666666,0.0704550913845499,97.86666666666666,0.2237248636403643,128,128,206.55374574661252,0.0465280870916361,
26,0.0265224638673084,89.555,0.0702166787038246,97.86666666666666,0.0702166787038246,97.86666666666666,0.2318622922463131,128,128,214.62785744667053,0.043830448230787,
27,0.0255569504944704,89.57833333333333,0.071282484413435,97.88333333333334,0.071282484413435,97.88333333333334,0.2782339492368824,128,128,222.76706719398496,0.0411328093699378,
28,0.024714202028633,89.59,0.0697816919224957,97.83333333333331,0.0697816919224957,97.83333333333331,0.4021020810397391,128,128,230.72623109817505,0.0384458168572385,
29,0.0239095920652716,89.63,0.0689697825970749,97.85,0.0689697825970749,97.85,0.2317912537460287,128,128,238.5784327983856,0.0357800750245664,
30,0.0232399697658292,89.64666666666666,0.069693170953542,97.88333333333334,0.0671717108576558,97.94,0.3959372131752079,128,128,250.84320783615112,0.0331461043370737,0.0802139192819595
